"Year","Value"
192111,-0.2184
192112,-0.0112
192201,-0.3973
192202,-0.39
192203,-0.0581
192204,-0.1395
192205,-0.1689
192206,-0.2081
192207,-0.2541
192208,-0.2756
192209,-0.2972
192210,-0.2629
192211,-0.1839
192212,-0.1183
192301,-0.1281
192302,-0.5255
192303,-0.3488
192304,-0.4694
192305,-0.2743
192306,-0.1935
192307,-0.2512
192308,-0.2487
192309,-0.1487
192310,-0.0283
192311,0.1922
192312,0.1162
192401,-0.3099
192402,-0.1579
192403,-0.0557
192404,-0.2032
192405,-0.1733
192406,-0.1416
192407,-0.159
192408,-0.1964
192409,-0.1896
192410,-0.1986
192411,-0.0799
192412,-0.3508
192501,-0.2547
192502,-0.2705
192503,-0.09
192504,-0.0538
192505,-0.1028
192506,-0.1681
192507,-0.1537
192508,-0.0769
192509,0.0234
192510,-0.0403
192511,0.1731
192512,0.243
192601,0.3958
192602,0.2309
192603,0.2045
192604,-0.1381
192605,-0.0712
192606,-0.0762
192607,-0.1288
192608,-0.0585
192609,-0.0187
192610,0.0381
192611,0.1217
192612,-0.1336
192701,-0.1307
192702,-0.1351
192703,-0.2445
192704,-0.1851
192705,-0.1663
192706,-0.1417
192707,-0.0042
192708,-0.0743
192709,0.0776
192710,0.2006
192711,0.0779
192712,-0.3226
192801,0.1377
192802,-0.0038
192803,-0.2673
192804,-0.2975
192805,-0.0715
192806,-0.2384
192807,-0.1106
192808,-0.1718
192809,-0.1563
192810,-0.0645
192811,0.0195
192812,-0.0968
192901,-0.6323
192902,-0.7624
192903,-0.119
192904,-0.2249
192905,-0.1918
192906,-0.2178
192907,-0.2269
192908,-0.1068
192909,-0.1215
192910,-0.0087
192911,0.0026
192912,-0.6362
193001,-0.2492
193002,-0.1445
193003,0.1462
193004,-0.1413
193005,-0.172
193006,-0.1023
193007,0.0303
193008,0.0362
193009,-0.0096
193010,0.1202
193011,0.3008
193012,0.1346
193101,0.0363
193102,-0.3525
193103,0.0635
193104,-0.1493
193105,-0.1144
193106,0.1206
193107,0.0896
193108,0.0768
193109,0.1579
193110,0.1994
193111,0.0318
193112,-0.027
193201,0.3725
193202,-0.2478
193203,-0.2379
193204,0.0791
193205,-0.1127
193206,-0.084
193207,-0.0079
193208,-0.0464
193209,0.0997
193210,0.0924
193211,-0.1903
193212,-0.1417
193301,-0.363
193302,-0.4206
193303,-0.2819
193304,-0.2085
193305,-0.1951
193306,-0.1807
193307,-0.0888
193308,-0.126
193309,-0.1674
193310,-0.1044
193311,-0.1551
193312,-0.4755
193401,-0.3163
193402,0.2709
193403,-0.2714
193404,-0.2311
193405,0.0716
193406,0.0275
193407,-0.0333
193408,-0.0361
193409,-0.1387
193410,0.0281
193411,0.1856
193412,0.1149
193501,-0.3451
193502,0.5327
193503,-0.0147
193504,-0.2503
193505,-0.2109
193506,-0.0938
193507,-0.014
193508,-0.0189
193509,-0.009
193510,0.1145
193511,-0.3595
193512,-0.1665
193601,-0.2812
193602,-0.4246
193603,-0.14
193604,-0.0791
193605,0.0065
193606,0.0648
193607,0.1414
193608,0.0571
193609,0.0995
193610,0.0483
193611,0.0846
193612,0.1444
193701,-0.1604
193702,0.1654
193703,-0.2168
193704,-0.0625
193705,0.1093
193706,0.1745
193707,0.1469
193708,0.194
193709,0.2966
193710,0.2762
193711,0.0671
193712,-0.0759
193801,0.0921
193802,0.0848
193803,0.2091
193804,0.2309
193805,0.0508
193806,-0.0496
193807,0.0107
193808,0.1154
193809,0.1511
193810,0.1557
193811,0.1311
193812,-0.3158
193901,-0.1179
193902,-0.0529
193903,-0.2542
193904,-0.1154
193905,-0.0013
193906,-0.0126
193907,0.0674
193908,0.1049
193909,0.122
193910,0.0126
193911,0.1493
193912,0.688
194001,-0.2676
194002,0.0506
194003,0.0872
194004,0.1733
194005,0.0516
194006,0.1301
194007,0.1723
194008,0.0611
194009,0.1779
194010,0.1139
194011,0.1384
194012,0.276
194101,0.1789
194102,0.3265
194103,0.0961
194104,0.1917
194105,0.22
194106,0.1668
194107,0.2138
194108,0.182
194109,0.1095
194110,0.3508
194111,0.1699
194112,0.1297
194201,0.2927
194202,-0.0206
194203,0.1386
194204,0.1506
194205,0.1395
194206,0.188
194207,0.0709
194208,0.0132
194209,0.1618
194210,0.2476
194211,0.2899
194212,0.1889
194301,-0.129
194302,0.2732
194303,0.0504
194304,0.2685
194305,0.189
194306,-0.0145
194307,0.1313
194308,0.154
194309,0.1797
194310,0.3872
194311,0.299
194312,0.4429
194401,0.5004
194402,0.362
194403,0.373
194404,0.1744
194405,0.2785
194406,0.2404
194407,0.2187
194408,0.1828
194409,0.3853
194410,0.3487
194411,0.1119
194412,0.0092
194501,0.0876
194502,-0.1661
194503,0.0383
194504,0.2241
194505,0.1185
194506,0.1041
194507,0.08
194508,0.2898
194509,0.1894
194510,0.2357
194511,0.1455
194512,-0.139
194601,0.3114
194602,0.1456
194603,0.0157
194604,0.3603
194605,0.0088
194606,0.0311
194607,0.0461
194608,0.0683
194609,0.0236
194610,0.0802
194611,0.054
194612,-0.4084
194701,-0.2996
194702,-0.112
194703,0.1493
194704,0.1061
194705,-0.0159
194706,-0.0106
194707,0.0044
194708,-0.0296
194709,-0.0287
194710,0.265
194711,0.0171
194712,-0.1209
194801,0.2396
194802,-0.1056
194803,-0.2344
194804,0.008
194805,0.2915
194806,0.0899
194807,0.0525
194808,0.1097
194809,-0.0128
194810,-0.0172
194811,0.0278
194812,-0.1474
194901,0.2884
194902,-0.13
194903,-0.0885
194904,0.0588
194905,0.0758
194906,-0.1249
194907,-0.0571
194908,0.0236
194909,-0.0553
194910,0.0505
194911,0.0408
194912,-0.2179
195001,-0.4145
195002,-0.2889
195003,-0.0082
195004,-0.1598
195005,-0.0105
195006,-0.0536
195007,-0.1755
195008,-0.2121
195009,-0.101
195010,-0.0992
195011,-0.4373
195012,-0.0736
195101,-0.2843
195102,-0.504
195103,-0.1581
195104,0.0574
195105,0.1826
195106,0.0411
195107,0.1873
195108,0.2713
195109,0.2919
195110,0.225
195111,0.0965
195112,0.4352
195201,0.1998
195202,0.0639
195203,-0.1897
195204,0.125
195205,0.0957
195206,0.1807
195207,0.1588
195208,0.1052
195209,0.1422
195210,-0.0714
195211,-0.3382
195212,-0.0421
195301,0.1726
195302,0.2636
195303,0.2506
195304,0.258
195305,0.2052
195306,0.1758
195307,0.1835
195308,0.1735
195309,0.1425
195310,0.1685
195311,-0.0692
195312,0.1615
195401,-0.3052
195402,-0.0845
195403,-0.1319
195404,-0.1329
195405,-0.1616
195406,-0.0198
195407,-0.0375
195408,0.0042
195409,0.0279
195410,-0.0027
195411,0.1827
195412,-0.2015
195501,0.3113
195502,-0.0905
195503,-0.394
195504,-0.2328
195505,-0.0267
195506,-0.0252
195507,0.0151
195508,0.1009
195509,0.008
195510,0.0302
195511,-0.1921
195512,-0.2248
195601,-0.1364
195602,-0.364
195603,-0.2416
195604,-0.2489
195605,-0.1856
195606,-0.1168
195607,-0.1633
195608,-0.1829
195609,-0.2574
195610,-0.2216
195611,-0.2252
195612,-0.2091
195701,-0.1849
195702,-0.1671
195703,-0.1758
195704,-0.099
195705,0.001
195706,0.126
195707,0.0755
195708,0.1735
195709,0.1741
195710,0.041
195711,0.1857
195712,0.4413
195801,0.5392
195802,0.3241
195803,0.1864
195804,0.1305
195805,0.1202
195806,0.0553
195807,0.039
195808,0.1307
195809,0.0613
195810,0.0682
195811,0.1424
195812,0.2481
195901,0.216
195902,0.0919
195903,0.3193
195904,0.1763
195905,0.0404
195906,0.1487
195907,0.0654
195908,0.0956
195909,0.1607
195910,-0.069
195911,-0.1811
195912,0.0074
196001,0.0192
196002,0.4179
196003,-0.3709
196004,-0.0948
196005,-0.0556
196006,0.1606
196007,0.0809
196008,0.0994
196009,0.1184
196010,0.0133
196011,-0.0823
196012,0.3627
196101,0.1764
196102,0.2593
196103,0.2292
196104,0.125
196105,0.1656
196106,0.1969
196107,0.0724
196108,0.0726
196109,-0.0445
196110,-0.1219
196111,0.0323
196112,-0.0447
196201,0.2835
196202,0.3227
196203,0.2111
196204,0.1711
196205,0.1202
196206,-0.0487
196207,0.1334
196208,0.0717
196209,0.0358
196210,0.1121
196211,0.0641
196212,0.1695
196301,0.1609
196302,0.5324
196303,-0.0059
196304,0.0061
196305,0.0132
196306,0.0438
196307,0.1954
196308,0.2122
196309,0.2146
196310,0.3705
196311,0.3988
196312,0.1562
196401,0.1162
196402,-0.1393
196403,-0.2245
196404,-0.2223
196405,-0.0213
196406,-0.0118
196407,-0.0585
196408,-0.2053
196409,-0.2686
196410,-0.3211
196411,-0.1701
196412,-0.2465
196501,-0.0167
196502,-0.3835
196503,-0.0763
196504,-0.2278
196505,-0.078
196506,-0.1216
196507,-0.1011
196508,-0.1439
196509,-0.1336
196510,0.0576
196511,-0.0935
196512,0.019
196601,-0.0799
196602,0.0301
196603,0.1106
196604,-0.1023
196605,0.0348
196606,0.0985
196607,0.1543
196608,0.1618
196609,0.134
196610,0.0252
196611,-0.0292
196612,-0.1811
196701,-0.1431
196702,-0.2375
196703,0.1495
196704,0.0847
196705,0.1904
196706,0.029
196707,0.0716
196708,0.0801
196709,0.0014
196710,0.2349
196711,0.0263
196712,0.0286
196801,-0.274
196802,-0.0871
196803,0.4548
196804,0.0291
196805,0.0101
196806,0.0273
196807,-0.01
196808,-0.0104
196809,-0.0216
196810,0.0052
196811,-0.0655
196812,-0.1964
196901,-0.4991
196902,-0.4193
196903,0.0058
196904,0.1254
196905,0.0824
196906,0.0098
196907,0.0707
196908,0.0737
196909,0.0683
196910,-0.0202
196911,0.1992
196912,0.3
197001,0.0151
197002,0.272
197003,-0.086
197004,0.0827
197005,0.0145
197006,0.0469
197007,-0.0067
197008,-0.0117
197009,-0.0354
197010,-0.1768
197011,-0.0272
197012,-0.1956
197101,-0.0211
197102,-0.3002
197103,-0.2263
197104,-0.1523
197105,-0.0962
197106,-0.117
